United Airlines_unscaled,United Airlines_monthly,isPartial,scale,United Airlines
86,65,,0.65,55.9
94,65,,0.65,61.1
83,65,,0.65,53.95
86,65,,0.65,55.9
83,65,,0.65,53.95
72,65,,0.65,46.800000000000004
80,66,FALSE,0.66,52.800000000000004
89,66,,0.66,58.74
100,66,,0.66,66
93,66,,0.66,61.38
83,66,,0.66,54.78
73,66,,0.66,48.18
69,66,,0.66,45.54
74,62,FALSE,0.62,45.88
84,62,,0.62,52.08
85,62,,0.62,52.7
83,62,,0.62,51.46
85,62,,0.62,52.7
80,62,,0.62,49.6
73,62,,0.62,45.26
83,61,FALSE,0.61,50.629999999999995
82,61,,0.61,50.019999999999996
94,61,,0.61,57.339999999999996
92,61,,0.61,56.12
88,61,,0.61,53.68
84,61,,0.61,51.24
74,61,,0.61,45.14
77,66,FALSE,0.66,50.82
94,66,,0.66,62.040000000000006
100,66,,0.66,66
98,66,,0.66,64.68
100,66,,0.66,66
85,66,,0.66,56.1
76,66,,0.66,50.160000000000004
78,63,FALSE,0.63,49.14
94,63,,0.63,59.22
91,63,,0.63,57.33
91,63,,0.63,57.33
90,63,,0.63,56.7
85,63,,0.63,53.55
77,63,,0.63,48.51
78,63,FALSE,0.63,49.14
94,63,,0.63,59.22
95,63,,0.63,59.85
86,63,,0.63,54.18
84,63,,0.63,52.92
89,63,,0.63,56.07
83,63,,0.63,52.29
78,62,FALSE,0.62,48.36
99,62,,0.62,61.38
99,62,,0.62,61.38
100,62,,0.62,62
95,62,,0.62,58.9
84,62,,0.62,52.08
78,62,,0.62,48.36
76,62,FALSE,0.62,47.12
92,62,,0.62,57.04
99,62,,0.62,61.38
97,62,,0.62,60.14
87,62,,0.62,53.94
88,62,,0.62,54.56
74,62,,0.62,45.88
77,61,FALSE,0.61,46.97
89,61,,0.61,54.29
96,61,,0.61,58.56
95,61,,0.61,57.949999999999996
92,61,,0.61,56.12
83,61,,0.61,50.629999999999995
74,61,,0.61,45.14
78,58,FALSE,0.58,45.239999999999995
91,58,,0.58,52.779999999999994
94,58,,0.58,54.519999999999996
84,58,,0.58,48.72
83,58,,0.58,48.13999999999999
82,58,,0.58,47.559999999999995
71,58,,0.58,41.18
70,58,FALSE,0.58,40.599999999999994
88,58,,0.58,51.04
78,58,,0.58,45.239999999999995
79,58,,0.58,45.82
86,58,,0.58,49.879999999999995
76,58,,0.58,44.08
75,58,,0.58,43.5
75,58,FALSE,0.58,43.5
79,58,,0.58,45.82
80,58,,0.58,46.4
77,58,,0.58,44.66
77,58,,0.58,44.66
73,58,,0.58,42.339999999999996
67,58,,0.58,38.86
75,60,FALSE,0.6,45
92,60,,0.6,55.199999999999996
86,60,,0.6,51.6
81,60,,0.6,48.6
80,60,,0.6,48
77,60,,0.6,46.199999999999996
74,60,,0.6,44.4
71,52,FALSE,0.52,36.92
74,52,,0.52,38.480000000000004
75,52,,0.52,39
75,52,,0.52,39
59,52,,0.52,30.68
66,52,,0.52,34.32
64,52,,0.52,33.28
72,58,FALSE,0.58,41.76
83,58,,0.58,48.13999999999999
100,58,,0.58,57.99999999999999
85,58,,0.58,49.3
45,58,,0.58,26.099999999999998
43,58,,0.58,24.939999999999998
37,58,,0.58,21.459999999999997
40,54,FALSE,0.54,21.6
40,54,,0.54,21.6
43,54,,0.54,23.220000000000002
39,54,,0.54,21.060000000000002
42,54,,0.54,22.68
40,54,,0.54,21.6
38,54,,0.54,20.520000000000003
38,59,FALSE,0.59,22.419999999999998
43,59,,0.59,25.369999999999997
46,59,,0.59,27.139999999999997
49,59,,0.59,28.91
48,59,,0.59,28.32
45,59,,0.59,26.549999999999997
46,59,,0.59,27.139999999999997
40,72,FALSE,0.72,28.799999999999997
46,72,,0.72,33.12
54,72,,0.72,38.879999999999995
56,72,,0.72,40.32
69,72,,0.72,49.68
73,72,,0.72,52.559999999999995
59,72,,0.72,42.48
50,81,FALSE,0.81,40.5
70,81,,0.81,56.7
100,81,,0.81,81
78,81,,0.81,63.18000000000001
60,81,,0.81,48.6
46,81,,0.81,37.260000000000005
42,81,,0.81,34.02
61,73,FALSE,0.73,44.53
82,73,,0.73,59.86
85,73,,0.73,62.05
86,73,,0.73,62.78
85,73,,0.73,62.05
69,73,,0.73,50.37
69,73,,0.73,50.37
69,75,FALSE,0.75,51.75
77,75,,0.75,57.75
86,75,,0.75,64.5
100,75,,0.75,75
83,75,,0.75,62.25
72,75,,0.75,54
63,75,,0.75,47.25
64,69,FALSE,0.69,44.16
73,69,,0.69,50.37
80,69,,0.69,55.199999999999996
78,69,,0.69,53.81999999999999
71,69,,0.69,48.989999999999995
66,69,,0.69,45.54
57,69,,0.69,39.33
57,64,FALSE,0.64,36.480000000000004
69,64,,0.64,44.160000000000004
69,64,,0.64,44.160000000000004
70,64,,0.64,44.800000000000004
72,64,,0.64,46.08
66,64,,0.64,42.24
56,64,,0.64,35.84
63,68,FALSE,0.68,42.84
74,68,,0.68,50.32
77,68,,0.68,52.36000000000001
83,68,,0.68,56.440000000000005
77,68,,0.68,52.36000000000001
74,68,,0.68,50.32
67,68,,0.68,45.56
70,64,FALSE,0.64,44.800000000000004
76,64,,0.64,48.64
80,64,,0.64,51.2
73,64,,0.64,46.72
74,64,,0.64,47.36
72,64,,0.64,46.08
66,64,,0.64,42.24
68,74,FALSE,0.74,50.32
64,74,,0.74,47.36
82,74,,0.74,60.68
100,74,,0.74,74
87,74,,0.74,64.38
80,74,,0.74,59.2
70,74,,0.74,51.8
74,71,FALSE,0.71,52.54
83,71,,0.71,58.93
91,71,,0.71,64.61
94,71,,0.71,66.74
95,71,,0.71,67.45
78,71,,0.71,55.379999999999995
70,71,,0.71,49.699999999999996
76,70,FALSE,0.7,53.199999999999996
89,70,,0.7,62.3
84,70,,0.7,58.8
88,70,,0.7,61.599999999999994
87,70,,0.7,60.9
85,70,,0.7,59.49999999999999
76,70,,0.7,53.199999999999996
78,71,FALSE,0.71,55.379999999999995
92,71,,0.71,65.32
100,71,,0.71,71
92,71,,0.71,65.32
87,71,,0.71,61.769999999999996
90,71,,0.71,63.9
76,71,,0.71,53.959999999999994
80,66,FALSE,0.66,52.800000000000004
89,66,,0.66,58.74
95,66,,0.66,62.7
87,66,,0.66,57.42
80,66,,0.66,52.800000000000004
75,66,,0.66,49.5
69,66,,0.66,45.54
79,65,FALSE,0.65,51.35
92,65,,0.65,59.800000000000004
89,65,,0.65,57.85
91,65,,0.65,59.15
83,65,,0.65,53.95
78,65,,0.65,50.7
73,65,,0.65,47.45
80,63,FALSE,0.63,50.4
85,63,,0.63,53.55
83,63,,0.63,52.29
84,63,,0.63,52.92
89,63,,0.63,56.07
84,63,,0.63,52.92
82,63,,0.63,51.660000000000004
83,63,FALSE,0.63,52.29
96,63,,0.63,60.480000000000004
95,63,,0.63,59.85
98,63,,0.63,61.74
96,63,,0.63,60.480000000000004
88,63,,0.63,55.44
71,63,,0.63,44.73
70,65,FALSE,0.65,45.5
95,65,,0.65,61.75
93,65,,0.65,60.45
89,65,,0.65,57.85
88,65,,0.65,57.2
84,65,,0.65,54.6
76,65,,0.65,49.4
95,68,FALSE,0.68,64.60000000000001
97,68,,0.68,65.96000000000001
100,68,,0.68,68
94,68,,0.68,63.92
100,68,,0.68,68
92,68,,0.68,62.56
86,68,,0.68,58.480000000000004
86,63,FALSE,0.63,54.18
92,63,,0.63,57.96
93,63,,0.63,58.59
98,63,,0.63,61.74
87,63,,0.63,54.81
84,63,,0.63,52.92
82,63,,0.63,51.660000000000004
89,64,FALSE,0.64,56.96
85,64,,0.64,54.4
93,64,,0.64,59.52
83,64,,0.64,53.120000000000005
81,64,,0.64,51.84
74,64,,0.64,47.36
69,64,,0.64,44.160000000000004
71,70,FALSE,0.7,49.699999999999996
86,70,,0.7,60.199999999999996
86,70,,0.7,60.199999999999996
83,70,,0.7,58.099999999999994
78,70,,0.7,54.599999999999994
81,70,,0.7,56.699999999999996
75,70,,0.7,52.5
78,72,FALSE,0.72,56.16
95,72,,0.72,68.39999999999999
99,72,,0.72,71.28
95,72,,0.72,68.39999999999999
88,72,,0.72,63.36
86,72,,0.72,61.919999999999995
75,72,,0.72,54
78,71,FALSE,0.71,55.379999999999995
89,71,,0.71,63.19
95,71,,0.71,67.45
84,71,,0.71,59.64
85,71,,0.71,60.349999999999994
100,71,,0.71,71
76,71,,0.71,53.959999999999994
75,69,FALSE,0.69,51.74999999999999
79,69,,0.69,54.51
93,69,,0.69,64.17
93,69,,0.69,64.17
65,69,,0.69,44.849999999999994
57,69,,0.69,39.33
55,69,,0.69,37.949999999999996
62,67,FALSE,0.67,41.54
64,67,,0.67,42.88
65,67,,0.67,43.550000000000004
68,67,,0.67,45.56
63,67,,0.67,42.21
57,67,,0.67,38.190000000000005
51,67,,0.67,34.17
53,77,FALSE,0.77,40.81
70,77,,0.77,53.9
72,77,,0.77,55.44
72,77,,0.77,55.44
68,77,,0.77,52.36
59,77,,0.77,45.43
54,77,,0.77,41.58
52,71,FALSE,0.71,36.92
66,71,,0.71,46.86
66,71,,0.71,46.86
66,71,,0.71,46.86
62,71,,0.71,44.019999999999996
57,71,,0.71,40.47
55,71,,0.71,39.05
69,100,FALSE,1,69
90,100,,1,90
97,100,,1,97
