Golden State Warriors_unscaled,Golden State Warriors_monthly,isPartial,scale,Golden State Warriors
41,17.0,,0.17,6.970000000000001
96,17.0,,0.17,16.32
68,17.0,,0.17,11.56
38,17.0,False,0.17,6.460000000000001
62,17.0,,0.17,10.54
26,17.0,,0.17,4.42
32,17.0,,0.17,5.44
100,17.0,,0.17,17.0
37,17.0,,0.17,6.29
88,17.0,,0.17,14.96
37,16.0,False,0.16,5.92
32,16.0,,0.16,5.12
69,16.0,,0.16,11.04
39,16.0,,0.16,6.24
85,16.0,,0.16,13.6
67,16.0,,0.16,10.72
38,16.0,,0.16,6.08
100,20.0,False,0.2,20.0
40,20.0,,0.2,8.0
75,20.0,,0.2,15.0
41,20.0,,0.2,8.200000000000001
99,20.0,,0.2,19.8
54,20.0,,0.2,10.8
59,20.0,,0.2,11.8
91,14.0,False,0.14,12.740000000000002
34,14.0,,0.14,4.760000000000001
68,14.0,,0.14,9.52
59,14.0,,0.14,8.260000000000002
28,14.0,,0.14,3.92
31,14.0,,0.14,4.340000000000001
27,14.0,,0.14,3.78
29,11.0,False,0.11,3.19
25,11.0,,0.11,2.75
23,11.0,,0.11,2.53
25,11.0,,0.11,2.75
27,11.0,,0.11,2.97
67,11.0,,0.11,7.37
69,11.0,,0.11,7.59
46,20.0,False,0.2,9.2
87,20.0,,0.2,17.400000000000002
37,20.0,,0.2,7.4
66,20.0,,0.2,13.2
35,20.0,,0.2,7.0
92,20.0,,0.2,18.4
80,20.0,,0.2,16.0
84,18.0,False,0.18,15.12
38,18.0,,0.18,6.84
31,18.0,,0.18,5.58
70,18.0,,0.18,12.6
36,18.0,,0.18,6.4799999999999995
77,18.0,,0.18,13.86
43,18.0,,0.18,7.739999999999999
100,23.0,False,0.23,23.0
39,23.0,,0.23,8.97
88,23.0,,0.23,20.24
39,23.0,,0.23,8.97
77,23.0,,0.23,17.71
40,23.0,,0.23,9.2
76,23.0,,0.23,17.48
78,20.0,False,0.2,15.6
40,20.0,,0.2,8.0
63,20.0,,0.2,12.6
42,20.0,,0.2,8.4
75,20.0,,0.2,15.0
41,20.0,,0.2,8.200000000000001
93,20.0,,0.2,18.6
56,23.0,False,0.23,12.88
83,23.0,,0.23,19.09
42,23.0,,0.23,9.66
94,23.0,,0.23,21.62
47,23.0,,0.23,10.81
42,23.0,,0.23,9.66
24,23.0,,0.23,5.5200000000000005
14,27.0,False,0.27,3.78
21,27.0,,0.27,5.67
10,27.0,,0.27,2.7
26,27.0,,0.27,7.0200000000000005
14,27.0,,0.27,3.78
14,27.0,,0.27,3.78
32,27.0,,0.27,8.64
29,17.0,False,0.17,4.930000000000001
15,17.0,,0.17,2.5500000000000003
8,17.0,,0.17,1.36
8,17.0,,0.17,1.36
7,17.0,,0.17,1.1900000000000002
6,17.0,,0.17,1.02
14,17.0,,0.17,2.3800000000000003
52,44.0,False,0.44,22.88
14,44.0,,0.44,6.16
