JPMorgan Chase_unscaled,JPMorgan Chase_monthly,isPartial,scale,JPMorgan Chase
93,41.0,,0.41,38.129999999999995
100,41.0,,0.41,41.0
62,41.0,,0.41,25.42
43,35.0,False,0.35,15.05
75,35.0,,0.35,26.25
82,35.0,,0.35,28.7
85,35.0,,0.35,29.749999999999996
74,35.0,,0.35,25.9
84,35.0,,0.35,29.4
42,35.0,,0.35,14.7
25,37.0,False,0.37,9.25
62,37.0,,0.37,22.94
76,37.0,,0.37,28.12
75,37.0,,0.37,27.75
60,37.0,,0.37,22.2
58,37.0,,0.37,21.46
37,37.0,,0.37,13.69
29,48.0,False,0.48,13.92
72,48.0,,0.48,34.56
96,48.0,,0.48,46.08
68,48.0,,0.48,32.64
94,48.0,,0.48,45.12
100,48.0,,0.48,48.0
46,48.0,,0.48,22.08
37,37.0,False,0.37,13.69
64,37.0,,0.37,23.68
63,37.0,,0.37,23.31
66,37.0,,0.37,24.42
73,37.0,,0.37,27.01
60,37.0,,0.37,22.2
38,37.0,,0.37,14.06
38,37.0,False,0.37,14.06
57,37.0,,0.37,21.09
60,37.0,,0.37,22.2
74,37.0,,0.37,27.38
71,37.0,,0.37,26.27
69,37.0,,0.37,25.53
30,37.0,,0.37,11.1
32,36.0,False,0.36,11.52
69,36.0,,0.36,24.84
100,36.0,,0.36,36.0
89,36.0,,0.36,32.04
77,36.0,,0.36,27.72
79,36.0,,0.36,28.44
50,36.0,,0.36,18.0
45,32.0,False,0.32,14.4
73,32.0,,0.32,23.36
76,32.0,,0.32,24.32
74,32.0,,0.32,23.68
83,32.0,,0.32,26.56
67,32.0,,0.32,21.44
36,32.0,,0.32,11.52
31,34.0,False,0.34,10.54
77,34.0,,0.34,26.180000000000003
92,34.0,,0.34,31.28
94,34.0,,0.34,31.96
79,34.0,,0.34,26.860000000000003
70,34.0,,0.34,23.8
44,34.0,,0.34,14.96
40,24.0,False,0.24,9.6
53,24.0,,0.24,12.72
76,24.0,,0.24,18.24
68,24.0,,0.24,16.32
18,24.0,,0.24,4.32
41,24.0,,0.24,9.84
38,24.0,,0.24,9.12
42,35.0,False,0.35,14.7
77,35.0,,0.35,26.95
70,35.0,,0.35,24.5
87,35.0,,0.35,30.45
82,35.0,,0.35,28.7
75,35.0,,0.35,26.25
42,35.0,,0.35,14.7
27,33.0,False,0.33,8.91
69,33.0,,0.33,22.77
71,33.0,,0.33,23.43
69,33.0,,0.33,22.77
82,33.0,,0.33,27.06
75,33.0,,0.33,24.75
40,33.0,,0.33,13.2
37,32.0,False,0.32,11.84
70,32.0,,0.32,22.4
79,32.0,,0.32,25.28
55,32.0,,0.32,17.6
60,32.0,,0.32,19.2
57,32.0,,0.32,18.24
35,32.0,,0.32,11.2
28,27.0,False,0.27,7.56
63,27.0,,0.27,17.01
72,27.0,,0.27,19.44
56,27.0,,0.27,15.12
47,27.0,,0.27,12.69
46,27.0,,0.27,12.420000000000002
30,27.0,,0.27,8.100000000000001
25,33.0,False,0.33,8.25
28,33.0,,0.33,9.24
59,33.0,,0.33,19.47
67,33.0,,0.33,22.11
71,33.0,,0.33,23.43
68,33.0,,0.33,22.44
100,33.0,,0.33,33.0
20,35.0,False,0.35,7.0
23,35.0,,0.35,8.049999999999999
37,35.0,,0.35,12.95
44,35.0,,0.35,15.4
38,35.0,,0.35,13.3
52,35.0,,0.35,18.2
35,35.0,,0.35,12.25
20,58.0,False,0.58,11.6
41,58.0,,0.58,23.78
45,58.0,,0.58,26.1
47,58.0,,0.58,27.26
63,58.0,,0.58,36.54
100,58.0,,0.58,57.99999999999999
100,58.0,,0.58,57.99999999999999
23,36.0,False,0.36,8.28
25,36.0,,0.36,9.0
45,36.0,,0.36,16.2
51,36.0,,0.36,18.36
39,36.0,,0.36,14.04
37,36.0,,0.36,13.32
30,36.0,,0.36,10.8
18,39.0,False,0.39,7.0200000000000005
49,39.0,,0.39,19.11
49,39.0,,0.39,19.11
50,39.0,,0.39,19.5
50,39.0,,0.39,19.5
40,39.0,,0.39,15.6
24,39.0,,0.39,9.36
15,37.0,False,0.37,5.55
40,37.0,,0.37,14.8
44,37.0,,0.37,16.28
100,37.0,,0.37,37.0
82,37.0,,0.37,30.34
70,37.0,,0.37,25.9
49,37.0,,0.37,18.13
34,37.0,False,0.37,12.58
77,37.0,,0.37,28.49
81,37.0,,0.37,29.97
90,37.0,,0.37,33.3
87,37.0,,0.37,32.19
68,37.0,,0.37,25.16
48,37.0,,0.37,17.759999999999998
47,39.0,False,0.39,18.33
74,39.0,,0.39,28.86
78,39.0,,0.39,30.42
80,39.0,,0.39,31.200000000000003
85,39.0,,0.39,33.15
84,39.0,,0.39,32.76
59,39.0,,0.39,23.01
31,35.0,False,0.35,10.85
62,35.0,,0.35,21.7
70,35.0,,0.35,24.5
85,35.0,,0.35,29.749999999999996
76,35.0,,0.35,26.6
80,35.0,,0.35,28.0
45,35.0,,0.35,15.749999999999998
32,37.0,False,0.37,11.84
88,37.0,,0.37,32.56
78,37.0,,0.37,28.86
44,37.0,,0.37,16.28
46,37.0,,0.37,17.02
50,37.0,,0.37,18.5
29,37.0,,0.37,10.73
22,41.0,False,0.41,9.02
43,41.0,,0.41,17.63
47,41.0,,0.41,19.27
46,41.0,,0.41,18.86
42,41.0,,0.41,17.22
59,41.0,,0.41,24.19
56,41.0,,0.41,22.959999999999997
39,59.0,False,0.59,23.01
100,59.0,,0.59,59.0
75,59.0,,0.59,44.25
49,59.0,,0.59,28.91
61,59.0,,0.59,35.989999999999995
61,59.0,,0.59,35.989999999999995
44,59.0,,0.59,25.959999999999997
28,47.0,False,0.47,13.16
53,47.0,,0.47,24.91
56,47.0,,0.47,26.32
57,47.0,,0.47,26.79
59,47.0,,0.47,27.729999999999997
54,47.0,,0.47,25.38
33,47.0,,0.47,15.51
24,41.0,False,0.41,9.84
57,41.0,,0.41,23.369999999999997
44,41.0,,0.41,18.04
54,41.0,,0.41,22.139999999999997
49,41.0,,0.41,20.09
46,41.0,,0.41,18.86
18,41.0,,0.41,7.38
15,77.0,False,0.77,11.55
22,77.0,,0.77,16.94
29,77.0,,0.77,22.33
35,77.0,,0.77,26.95
30,77.0,,0.77,23.1
