Season,Date,Opponent,Result,Record,Hi Points,Hi Rebounds,Hi Assists
2021,"Tue, Feb 23",@ New York,W 114-106,17-15,Curry 37,Green 9,Green 12
2021,"Wed, Feb 24",@ Indiana,W 111-107,18-15,Curry 24,Green 9,Green 11
2021,"Fri, Feb 26",vs Charlotte,W 130-121,19-15,Curry 29,Green 12,Green 19
2021,"Sun, Feb 28",@ Los Angeles,L 117-91,19-16,Paschall 18,Wiseman 8,Curry 7
2021,"Wed, Mar 3",@ Portland,L 108-106,19-17,Curry 35,Green 9,Green 12
2021,"Thu, Mar 4",@ Phoenix,L 120-98,39-33,Poole 26,Wiseman 11,Mannion 6
2021,"Thu, Mar 11",@ LA,L 130-104,19-19,Wiggins 15,Wiggins 8,Poole 4
2021,"Sun, Mar 14",vs Utah,W 131-119,20-19,Curry 32,Green 12,Green 12
2021,"Mon, Mar 15",vs Los Angeles,L 128-97,20-20,Curry 27,Wiseman 8,Green 6
2021,"Wed, Mar 17",@ Houston,W 108-94,21-20,Poole 23,Green 12,Green 10
2021,"Fri, Mar 19",@ Memphis,W 116-103,22-20,Wiggins 40,Green 11,Green 13
2021,"Sat, Mar 20",@ Memphis,L 111-103,22-21,Poole 26,Wiggins 9,Toscano-Anderson 6
2021,"Tue, Mar 23",vs Philadelphia,L 108-98,22-22,Oubre Jr. 24,Oubre Jr. 10,Green 6
2021,"Thu, Mar 25",@ Sacramento,L 141-119,22-23,Wiggins 26,Wiggins 10,Poole 5
2021,"Fri, Mar 26",vs Atlanta,L 124-108,22-24,Wiggins 29,Wiggins 7,Green 9
2021,"Mon, Mar 29",vs Chicago,W 116-102,23-24,Curry 32,Oubre Jr. 11,Green 9
2021,"Thu, Apr 1",@ Miami,L 116-109,23-25,Curry 36,Curry 11,Green 8
2021,"Fri, Apr 2",@ Toronto,L 130-77,23-26,Wiggins 15,Oubre Jr. 7,Mannion 4
2021,"Sun, Apr 4",@ Atlanta,L 117-111,23-27,Curry 37,Oubre Jr. 11,Green 11
2021,"Tue, Apr 6",vs Milwaukee,W 122-121,24-27,Curry 41,Wiseman 10,Green 8
2021,"Fri, Apr 9",vs Washington,L 110-107,24-28,Curry 32,Wiggins 7,Green 8
2021,"Sat, Apr 10",vs Houston,W 125-109,25-28,Curry 38,Curry 8,Green 7
2021,"Mon, Apr 12",vs Denver,W 116-107,26-28,Curry 53,Looney 11,Green 7
2021,"Wed, Apr 14",@ Oklahoma City,W 147-109,27-28,Curry 42,Green 10,Green 16
2021,"Thu, Apr 15",@ Cleveland,W 119-101,28-28,Curry 33,Looney 10,Green 8
2021,"Sat, Apr 17",@ Boston,L 119-114,28-29,Curry 47,Looney 9,Green 10
2021,"Mon, Apr 19",@ Philadelphia,W 107-96,29-29,Curry 49,Looney 15,Green 6
2021,"Wed, Apr 21",@ Washington,L 118-114,29-30,Oubre Jr. 24,Oubre Jr. 9,Curry 8
2021,"Fri, Apr 23",vs Denver,W 118-97,30-30,Curry 32,Green 12,Green 19
2021,"Sun, Apr 25",vs Sacramento,W 117-113,31-30,Curry 37,Green 14,Green 13
2021,"Tue, Apr 27",vs Dallas,L 133-103,31-31,Curry 27,Green 11,Wiggins 5
2021,"Thu, Apr 29",@ Minnesota,L 126-114,31-32,Curry 37,Bazemore 10,Curry 8
2021,"Sat, May 1",@ Houston,W 113-87,32-32,Curry 30,Green 11,Green 8
2021,"Mon, May 3",@ New Orleans,W 123-108,33-32,Curry 41,Green 13,Green 15
2021,"Tue, May 4",@ New Orleans,L 108-103,33-33,Curry 37,Green 12,Green 9
2021,"Thu, May 6",vs Oklahoma City,W 118-97,34-33,Curry 34,Looney 10,Green 9
2021,"Sat, May 8",vs Oklahoma City,W 136-97,35-33,Curry 49,Looney 12,Green 13
2021,"Mon, May 10",vs Utah,W 119-116,36-33,Curry 36,Looney 13,Green 10
2021,"Tue, May 11",vs Phoenix,W 122-116,39-33,Wiggins 38,Green 10,Green 11
2021,"Fri, May 14",vs New Orleans,W 125-122,39-33,Poole 38,Toscano-Anderson 9,Toscano-Anderson 9
2021,"Sun, May 16",vs Memphis,W 113-101,39-33,Curry 46,Looney 11,Curry 9
2022,"Tue, Oct 19",@ Los Angeles,W 121-114,1-0,Curry 21,Bjelica 11,Curry 10
2022,"Thu, Oct 21",vs LA,W 115-113,2-0,Curry 45,Curry 10,Green 7
2022,"Sun, Oct 24",@ Sacramento,W 119-107,3-0,Curry 27,Porter Jr. 9,Curry 10
2022,"Tue, Oct 26",@ Oklahoma City,W 106-98,4-0,Curry 23,Green 9,Green 8
2022,"Thu, Oct 28",vs Memphis,L 104-101 OT,4-1,Curry 36,Green 12,Curry 8
2022,"Sat, Oct 30",vs Oklahoma City,W 103-82,5-1,Curry 20,Green 11,Green 8
2022,"Wed, Nov 3",vs Charlotte,W 114-92,6-1,Poole 31,Green 10,Curry 9
2022,"Fri, Nov 5",vs New Orleans,W 126-85,7-1,Poole 26,Green 8,Iguodala 10
2022,"Sun, Nov 7",vs Houston,W 120-107,8-1,Poole 25,Porter Jr. 9,Green 9
2022,"Mon, Nov 8",vs Atlanta,W 127-113,9-1,Curry 50,Curry 7,Curry 10
2022,"Wed, Nov 10",vs Minnesota,W 123-110,10-1,Wiggins 35,Looney 17,Iguodala 8
2022,"Fri, Nov 12",vs Chicago,W 119-93,11-1,Curry 40,Looney 10,Green 7
2022,"Sun, Nov 14",@ Charlotte,L 106-102,11-2,Wiggins 28,Looney 8,Curry 10
2022,"Tue, Nov 16",@ Brooklyn,W 117-99,12-2,Curry 37,Curry 7,Green 8
2022,"Thu, Nov 18",@ Cleveland,W 104-89,13-2,Curry 40,Lee 6,Green 14
2022,"Fri, Nov 19",@ Detroit,W 105-102,14-2,Poole 32,Looney 12,Toscano-Anderson 9
2022,"Sun, Nov 21",vs Toronto,W 119-104,15-2,Poole 33,Green 14,Curry 8
2022,"Wed, Nov 24",vs Philadelphia,W 116-96,16-2,Curry 25,Green 9,Curry 10
2022,"Fri, Nov 26",vs Portland,W 118-103,17-2,Curry 32,Green 8,Green 12
2022,"Sun, Nov 28",@ LA,W 105-90,18-2,Curry 33,Porter Jr. 10,Green 7
2022,"Tue, Nov 30",@ Phoenix,L 104-96,18-3,Poole 28,Green 11,Green 5
2022,"Fri, Dec 3",vs Phoenix,W 118-96,19-3,Curry 23,Green 9,Green 9
2022,"Sat, Dec 4",vs San Antonio,L 112-107,19-4,Curry 27,Curry 8,Green 9
2022,"Mon, Dec 6",vs Orlando,W 126-95,20-4,Curry 31,Poole 7,Curry 8
2022,"Wed, Dec 8",vs Portland,W 104-94,21-4,Curry 22,Green 10,Green 8
2022,"Sat, Dec 11",@ Philadelphia,L 102-93,21-5,Poole 23,Curry 9,Curry 5
2022,"Mon, Dec 13",@ Indiana,W 102-100,22-5,Curry 26,Green 9,Curry 6
2022,"Tue, Dec 14",@ New York,W 105-96,23-5,Curry 22,Green 11,Green 7
2022,"Fri, Dec 17",@ Boston,W 111-107,24-5,Curry 30,Looney 10,Green 8
2022,"Sat, Dec 18",@ Toronto,L 119-100,24-6,Kuminga 26,Toscano-Anderson 10,Chiozza 7
2022,"Mon, Dec 20",vs Sacramento,W 113-98,25-6,Curry 30,Green 11,Green 10
2022,"Thu, Dec 23",vs Memphis,W 113-104,26-6,Curry 46,Porter Jr. 9,Green 9
2022,"Sat, Dec 25",@ Phoenix,W 116-107,27-6,Curry 33,Looney 10,Green 10
2022,"Tue, Dec 28",vs Denver,L 89-86,27-7,Curry 23,Wiggins 8,Curry 4
2022,"Sat, Jan 1",@ Utah,W 123-116,28-7,Curry 28,Porter Jr. 7,Curry 9
2022,"Mon, Jan 3",vs Miami,W 115-108,29-7,Poole 32,Green 8,Green 13
2022,"Wed, Jan 5",@ Dallas,L 99-82,29-8,Wiggins 17,Payton II 11,Curry 5
2022,"Thu, Jan 6",@ New Orleans,L 101-96,29-9,Wiggins 21,Looney 9,Iguodala 7
2022,"Sun, Jan 9",vs Cleveland,W 96-82,30-9,Curry 28,Looney 18,Curry 5
2022,"Tue, Jan 11",@ Memphis,L 116-108,30-10,Curry 27,Curry 10,Curry 10
2022,"Thu, Jan 13",@ Milwaukee,L 118-99,30-11,Wiggins 16,Curry 8,Curry 4
2022,"Fri, Jan 14",@ Chicago,W 138-96,31-11,Kuminga 25,Looney 12,Bjelica 7
2022,"Sun, Jan 16",@ Minnesota,L 119-99,31-12,Poole 20,Looney 12,Porter Jr. 4
2022,"Tue, Jan 18",vs Detroit,W 102-86,32-12,Thompson 21,Kuminga 10,Curry 8
2022,"Thu, Jan 20",vs Indiana,L 121-117 OT,32-13,Curry 39,Looney 15,Curry 8
2022,"Fri, Jan 21",vs Houston,W 105-103,33-13,Curry 22,Looney 12,Curry 12
2022,"Sun, Jan 23",vs Utah,W 94-92,34-13,Poole 20,Porter Jr. 8,Curry 6
2022,"Tue, Jan 25",vs Dallas,W 130-92,35-13,Kuminga 22,Bjelica 10,Curry 7
2022,"Thu, Jan 27",vs Minnesota,W 124-115,36-13,Curry 29,Curry 8,Curry 6
2022,"Sat, Jan 29",vs Brooklyn,W 110-106,37-13,Wiggins 24,Looney 15,Curry 8
2022,"Mon, Jan 31",@ Houston,W 122-108,38-13,Curry 40,Looney 14,Curry 9
2022,"Tue, Feb 1",@ San Antonio,W 124-120,39-13,Poole 31,Looney 12,Toscano-Anderson 7
2022,"Thu, Feb 3",vs Sacramento,W 126-114,40-13,Thompson 23,Kuminga 7,Thompson 7
