Adobe_unscaled,Adobe_monthly,isPartial,scale,Adobe
85,81.0,,0.81,68.85000000000001
90,81.0,,0.81,72.9
81,81.0,,0.81,65.61
72,81.0,,0.81,58.32000000000001
50,81.0,,0.81,40.5
38,66.0,False,0.66,25.080000000000002
73,66.0,,0.66,48.18
76,66.0,,0.66,50.160000000000004
72,66.0,,0.66,47.52
63,66.0,,0.66,41.580000000000005
50,66.0,,0.66,33.0
49,66.0,,0.66,32.34
34,56.0,False,0.56,19.040000000000003
40,56.0,,0.56,22.400000000000002
61,56.0,,0.56,34.160000000000004
61,56.0,,0.56,34.160000000000004
62,56.0,,0.56,34.720000000000006
52,56.0,,0.56,29.120000000000005
51,56.0,,0.56,28.560000000000002
30,70.0,False,0.7,21.0
42,70.0,,0.7,29.4
69,70.0,,0.7,48.3
81,70.0,,0.7,56.699999999999996
78,70.0,,0.7,54.599999999999994
73,70.0,,0.7,51.099999999999994
49,70.0,,0.7,34.3
39,87.0,False,0.87,33.93
78,87.0,,0.87,67.86
83,87.0,,0.87,72.21
82,87.0,,0.87,71.34
84,87.0,,0.87,73.08
73,87.0,,0.87,63.51
49,87.0,,0.87,42.63
37,84.0,False,0.84,31.08
56,84.0,,0.84,47.04
86,84.0,,0.84,72.24
89,84.0,,0.84,74.75999999999999
86,84.0,,0.84,72.24
76,84.0,,0.84,63.839999999999996
50,84.0,,0.84,42.0
42,91.0,False,0.91,38.22
86,91.0,,0.91,78.26
89,91.0,,0.91,80.99000000000001
90,91.0,,0.91,81.9
86,91.0,,0.91,78.26
78,91.0,,0.91,70.98
49,91.0,,0.91,44.59
44,94.0,False,0.94,41.36
85,94.0,,0.94,79.89999999999999
100,94.0,,0.94,94.0
100,94.0,,0.94,94.0
98,94.0,,0.94,92.11999999999999
82,94.0,,0.94,77.08
55,94.0,,0.94,51.699999999999996
47,86.0,False,0.86,40.42
91,86.0,,0.86,78.26
97,86.0,,0.86,83.42
94,86.0,,0.86,80.84
89,86.0,,0.86,76.53999999999999
84,86.0,,0.86,72.24
52,86.0,,0.86,44.72
46,91.0,False,0.91,41.86
83,91.0,,0.91,75.53
92,91.0,,0.91,83.72
94,91.0,,0.91,85.54
92,91.0,,0.91,83.72
79,91.0,,0.91,71.89
50,91.0,,0.91,45.5
44,88.0,False,0.88,38.72
73,88.0,,0.88,64.24
90,88.0,,0.88,79.2
97,88.0,,0.88,85.36
90,88.0,,0.88,79.2
87,88.0,,0.88,76.56
55,88.0,,0.88,48.4
47,94.0,False,0.94,44.18
92,94.0,,0.94,86.47999999999999
95,94.0,,0.94,89.3
95,94.0,,0.94,89.3
94,94.0,,0.94,88.36
84,94.0,,0.94,78.96
49,94.0,,0.94,46.059999999999995
45,88.0,False,0.88,39.6
88,88.0,,0.88,77.44
89,88.0,,0.88,78.32000000000001
88,88.0,,0.88,77.44
84,88.0,,0.88,73.92
75,88.0,,0.88,66.0
49,88.0,,0.88,43.12
41,86.0,False,0.86,35.26
76,86.0,,0.86,65.36
81,86.0,,0.86,69.66
85,86.0,,0.86,73.1
81,86.0,,0.86,69.66
71,86.0,,0.86,61.06
49,86.0,,0.86,42.14
42,93.0,False,0.93,39.06
84,93.0,,0.93,78.12
98,93.0,,0.93,91.14
100,93.0,,0.93,93.0
91,93.0,,0.93,84.63000000000001
75,93.0,,0.93,69.75
50,93.0,,0.93,46.5
42,89.0,False,0.89,37.38
82,89.0,,0.89,72.98
90,89.0,,0.89,80.1
88,89.0,,0.89,78.32000000000001
93,89.0,,0.89,82.77
78,89.0,,0.89,69.42
51,89.0,,0.89,45.39
48,86.0,False,0.86,41.28
94,86.0,,0.86,80.84
94,86.0,,0.86,80.84
