Rakuten_unscaled,Rakuten_monthly,isPartial,scale,Rakuten
16,34.0,,0.34,5.44
16,34.0,,0.34,5.44
16,34.0,,0.34,5.44
18,34.0,,0.34,6.12
24,34.0,,0.34,8.16
23,34.0,,0.34,7.82
27,44.0,False,0.44,11.88
25,44.0,,0.44,11.0
23,44.0,,0.44,10.12
24,44.0,,0.44,10.56
21,44.0,,0.44,9.24
21,44.0,,0.44,9.24
28,44.0,,0.44,12.32
33,96.0,False,0.96,31.68
31,96.0,,0.96,29.759999999999998
31,96.0,,0.96,29.759999999999998
32,96.0,,0.96,30.72
64,96.0,,0.96,61.44
100,96.0,,0.96,96.0
77,96.0,,0.96,73.92
61,90.0,False,0.9,54.9
87,90.0,,0.9,78.3
65,90.0,,0.9,58.5
37,90.0,,0.9,33.300000000000004
99,90.0,,0.9,89.10000000000001
83,90.0,,0.9,74.7
90,90.0,,0.9,81.0
100,48.0,False,0.48,48.0
92,48.0,,0.48,44.16
91,48.0,,0.48,43.68
83,48.0,,0.48,39.839999999999996
82,48.0,,0.48,39.36
80,48.0,,0.48,38.4
74,48.0,,0.48,35.519999999999996
97,44.0,False,0.44,42.68
91,44.0,,0.44,40.04
84,44.0,,0.44,36.96
70,44.0,,0.44,30.8
70,44.0,,0.44,30.8
68,44.0,,0.44,29.92
70,44.0,,0.44,30.8
63,30.0,False,0.3,18.9
69,30.0,,0.3,20.7
58,30.0,,0.3,17.4
62,30.0,,0.3,18.599999999999998
53,30.0,,0.3,15.899999999999999
53,30.0,,0.3,15.899999999999999
44,30.0,,0.3,13.2
46,31.0,False,0.31,14.26
59,31.0,,0.31,18.29
60,31.0,,0.31,18.6
62,31.0,,0.31,19.22
55,31.0,,0.31,17.05
53,31.0,,0.31,16.43
47,31.0,,0.31,14.57
92,23.0,False,0.23,21.16
93,23.0,,0.23,21.39
87,23.0,,0.23,20.01
93,23.0,,0.23,21.39
87,23.0,,0.23,20.01
90,23.0,,0.23,20.7
90,23.0,,0.23,20.7
98,23.0,False,0.23,22.540000000000003
100,23.0,,0.23,23.0
91,23.0,,0.23,20.93
91,23.0,,0.23,20.93
91,23.0,,0.23,20.93
92,23.0,,0.23,21.16
99,23.0,,0.23,22.77
85,23.0,False,0.23,19.55
98,23.0,,0.23,22.540000000000003
89,23.0,,0.23,20.470000000000002
90,23.0,,0.23,20.7
86,23.0,,0.23,19.78
92,23.0,,0.23,21.16
89,23.0,,0.23,20.470000000000002
84,22.0,False,0.22,18.48
93,22.0,,0.22,20.46
84,22.0,,0.22,18.48
86,22.0,,0.22,18.92
86,22.0,,0.22,18.92
91,22.0,,0.22,20.02
97,22.0,,0.22,21.34
88,23.0,False,0.23,20.240000000000002
91,23.0,,0.23,20.93
84,23.0,,0.23,19.32
36,23.0,,0.23,8.280000000000001
37,23.0,,0.23,8.51
36,23.0,,0.23,8.280000000000001
38,23.0,,0.23,8.74
40,25.0,False,0.25,10.0
40,25.0,,0.25,10.0
